MINNo,OrderNo,TDate,Item,Qnty,Price,Qnty2,Price2,VAT,GRN,LPO,Posted,Pick,Credit,UnPaid,Discount,SortOrder,Customer,RetQnty,Cash,RefNo,NetInWords,Days,Pos,ClientName,Entry,UserName,Official,JobNo,JobCard,Cancelled,B4,Curr,Company,GoodsRet,Comm,Asst,Perc,AmtRecvd,VATIncl,InvNo,InvDt,IntRef,Profit,Profit2,Other,BinLoc,IDNo,LNo,RegNo,Driver,LDate,Approved,ClientAddress,NetPrice
"2825",,"10/29/25 00:00:00","6334",1,350,0,0,0,,,0,0,0,0,0,217,341,0,1,"2825",,-1,,,6,"SAID",1,,,0,0,1,"01",0,0,,0,3900,1,"2825",,,95,0,,"Z001",,,,,,0,,350
"2825",,"10/29/25 00:00:00","6063",2,50,0,0,0,,,0,0,0,0,0,218,341,0,1,"2825",,-1,,,7,"SAID",1,,,0,0,1,"01",0,0,,0,3900,1,"2825",,,9,0,,"Z001",,,,,,0,,50
"2925",,"11/03/25 00:00:00","252003",1,28000,0,0,0,,,0,0,0,0,0,220,341,0,1,"2925",,-1,,,1,"ABDUL",1,,,0,0,1,"01",0,0,,0,88800,1,"2925",,,8000,0,,"Z001",,,,,,0,,28000
"2925",,"11/03/25 00:00:00","5817",2,10000,0,0,0,,,0,0,0,0,0,221,341,0,1,"2925",,-1,,,2,"ABDUL",1,,,0,0,1,"01",0,0,,0,88800,1,"2925",,,2706.1,0,,"Z001",,,,,,0,,10000
"2925",,"11/03/25 00:00:00","914",1,30000,0,280,0,,,0,0,0,0,0,222,341,0,1,"2925",,-1,,,3,"ABDUL",1,,,0,0,1,"01",0,0,,0,88800,1,"2925",,,10357.4,0,,"Z001",,,,,,0,,30000
"2925",,"11/03/25 00:00:00","973",1,1500,0,0,0,,,0,0,0,0,0,223,341,0,1,"2925",,-1,,,4,"ABDUL",1,,,0,0,1,"01",0,0,,0,88800,1,"2925",,,750,0,,"Z001",,,,,,0,,1500
"2925",,"11/03/25 00:00:00","241910",0,25000,20,300,0,,,0,0,0,0,0,224,341,0,1,"2925",,-1,,,5,"ABDUL",1,,,0,0,1,"01",0,0,,0,88800,1,"2925",,,0,197.8,,"Z001",,,,,,0,,25000
"2925",,"11/03/25 00:00:00","791",1,1300,0,0,0,,,0,0,0,0,0,225,341,0,1,"2925",,-1,,,6,"ABDUL",1,,,0,0,1,"01",0,0,,0,88800,1,"2925",,,675,0,,"Z001",,,,,,0,,1300
"2925",,"11/03/25 00:00:00","787",0,4300,20,100,0,,,0,0,0,0,0,226,341,0,1,"2925",,-1,,,7,"ABDUL",1,,,0,0,1,"01",0,0,,0,88800,1,"2925",,,0,54.49,,"Z001",,,,,,0,,4300
"3025",,"11/02/25 00:00:00","201725",1,9000,0,0,0,,,0,0,0,0,0,228,341,0,1,"3025",,-1,,,1,"ABDUL",1,,,0,0,1,"01",0,0,,0,46150,1,"3025",,"1246-1250",2350,0,,"Z001",,,,,,0,,9000
"3025",,"11/02/25 00:00:00","251948",1,26000,0,0,0,,,0,0,0,0,0,229,341,0,1,"3025",,-1,,,2,"ABDUL",1,,,0,0,1,"01",0,0,,0,46150,1,"3025",,"1246-1250",5000,0,,"Z001",,,,,,0,,26000
"3025",,"11/02/25 00:00:00","6385",1,650,0,0,0,,,0,0,0,0,0,230,341,0,1,"3025",,-1,,,3,"ABDUL",1,,,0,0,1,"01",0,0,,0,46150,1,"3025",,"1246-1250",200,0,,"Z001",,,,,,0,,650
"3025",,"11/02/25 00:00:00","5817",1,9500,0,0,0,,,0,0,0,0,0,231,341,0,1,"3025",,-1,,,4,"ABDUL",1,,,0,0,1,"01",0,0,,0,46150,1,"3025",,"1246-1250",2206.1,0,,"Z001",,,,,,0,,9500
"3025",,"11/02/25 00:00:00","6481",0,15500,5,200,0,,,0,0,0,0,0,233,341,0,1,"3025",,-1,,,5,"ABDUL",1,,,0,0,1,"01",0,0,,0,46150,1,"3025",,"1246-1250",0,52.04,,"Z001",,,,,,0,,15500
"3125",,"11/03/25 00:00:00","787",0,4300,35,80,0,,,0,0,0,0,0,235,10002,0,1,,,-1,,,1,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3125",,,0,34.49,,"Z001",,,,,,0,,4300
"3125",,"11/03/25 00:00:00","251967",1,350,0,0,0,,,0,0,0,0,0,236,10002,0,1,,,-1,,,2,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3125",,,186.11,0,,"Z001",,,,,,0,,350
"3125",,"11/03/25 00:00:00","6063",2,50,0,0,0,,,0,0,0,0,0,237,10002,0,1,,,-1,,,3,"ABDUL",1,,,0,0,1,"01",0,0,,0,0,1,"3125",,,9,0,,"Z001",,,,,,0,,50
"3225",,"11/03/25 00:00:00","251964",1,17000,0,0,0,,,0,0,0,0,0,239,356,0,1,"3225",,-1,,,1,"SAID",1,,,0,0,1,"01",0,0,,0,17000,1,"3225",,,3500,0,,"Z001",,,,,,0,,17000
"3325",,"11/03/25 00:00:00","924",1,8500,0,0,0,,,0,0,0,0,0,241,341,0,1,"3325",,-1,,,1,"SAID",1,,,0,0,1,"01",0,0,,0,8500,1,"3325",,,1700,0,,"Z001",,,,,,0,,8500
"6425",,"12/23/25 00:00:00","252049",1,21000,0,0,0,,,0,0,0,0,0,606,341,0,1,"6425",,-1,,,19,"ABDUL",1,,,0,0,1,"01",0,0,,0,147950,1,"6425",,,7650,0,,"Z001",,,,,,0,,21000
"6525",,"12/24/25 00:00:00","854",3,3500,0,0,0,,,0,0,0,0,0,609,341,0,1,"6525",,-1,,,1,"ABDUL",1,,,0,0,1,"01",0,0,,0,16250,1,"6525",,,2850,0,,"Z001",,,,,,0,,3500
"6525",,"12/24/25 00:00:00","251957",2,2000,0,0,0,,,0,0,0,0,0,610,341,0,1,"6525",,-1,,,2,"ABDUL",1,,,0,0,1,"01",0,0,,0,16250,1,"6525",,,814.63,0,,"Z001",,,,,,0,,2000
