TransRefNo,Item,TDate,QntyIn,QntyOut,GRN,RevGRN,MINTrans,RevMIN,Disposal,Lse,Price,GRNBal,AvgPrice,StCn,Transfer,ActPrice,Company,SortOrder,Official,Profit,BinLoc,Production
"4425","5832","10/15/25 00:00:00",6,0,1,0,0,0,0,0,100,6,132.0823244552058,0,0,0,"01",663,0,0,"Z001",0
"4425","5762","10/15/25 00:00:00",50,0,1,0,0,0,0,0,9,50,9,0,0,0,"01",664,0,0,"Z001",0
"4425","6192","10/15/25 00:00:00",50,0,1,0,0,0,0,0,1,50,1.214285714285714,0,0,0,"01",665,0,0,"Z001",0
"4425","5969","10/15/25 00:00:00",30,0,1,0,0,0,0,0,13,30,16.11111111111111,0,0,0,"01",666,0,0,"Z001",0
"4425","5761","10/15/25 00:00:00",50,0,1,0,0,0,0,0,9,50,9,0,0,0,"01",667,0,0,"Z001",0
"4425","6098","10/15/25 00:00:00",20,0,1,0,0,0,0,0,21,20,27.55176470588235,0,0,0,"01",668,0,0,"Z001",0
"4425","251967","10/15/25 00:00:00",12,0,1,0,0,0,0,0,150,12,163.8888888888889,0,0,0,"01",669,0,0,"Z001",0
"4425","5956","10/15/25 00:00:00",50,0,1,0,0,0,0,0,10,50,10,0,0,0,"01",670,0,0,"Z001",0
"4425","251979","10/15/25 00:00:00",2,0,1,0,0,0,0,0,230,2,230,0,0,0,"01",671,0,0,"Z001",0
"4425","251980","10/15/25 00:00:00",2,0,1,0,0,0,0,0,220,2,220,0,0,0,"01",672,0,0,"Z001",0
"4425","251981","10/15/25 00:00:00",3,0,1,0,0,0,0,0,150,3,150,0,0,0,"01",673,0,0,"Z001",0
"4425","251982","10/15/25 00:00:00",7,0,1,0,0,0,0,0,90,7,90,0,0,0,"01",674,0,0,"Z001",0
"4425","251983","10/15/25 00:00:00",7,0,1,0,0,0,0,0,60,7,60,0,0,0,"01",675,0,0,"Z001",0
"4525","6218","10/20/25 00:00:00",2,0,1,0,0,0,0,0,3600,2,3840,0,0,0,"01",677,0,0,"Z001",0
"4525","6394","10/20/25 00:00:00",2,0,1,0,0,0,0,0,4200,2,4200,0,0,0,"01",678,0,0,"Z001",0
"4525","6129","10/20/25 00:00:00",2,0,1,0,0,0,0,0,4500,2,4500,0,0,0,"01",679,0,0,"Z001",0
"4525","6150","10/20/25 00:00:00",6,0,1,0,0,0,0,0,3400,6,3400,0,0,0,"01",680,0,0,"Z001",0
"4525","5704","10/20/25 00:00:00",3,0,1,0,0,0,0,0,3150,3,3150,0,0,0,"01",681,0,0,"Z001",0
"4525","251984","10/20/25 00:00:00",3,0,1,0,0,0,0,0,3150,3,3150,0,0,0,"01",682,0,0,"Z001",0
"4625","241923","10/15/25 00:00:00",30,0,1,0,0,0,0,0,280,30,280,0,0,0,"01",684,0,0,"Z001",0
"4725","5602","10/16/25 00:00:00",2,0,1,0,0,0,0,0,9000,2,9000,0,0,0,"01",685,0,0,"Z001",0
"4725","1711","10/16/25 00:00:00",2,0,1,0,0,0,0,0,2700,2,2700,0,0,0,"01",686,0,0,"Z001",0
"4725","211827","10/16/25 00:00:00",2,0,1,0,0,0,0,0,4000,2,4000,0,0,0,"01",687,0,0,"Z001",0
"4725","5612","10/16/25 00:00:00",4,0,1,0,0,0,0,0,6000,4,6000,0,0,0,"01",688,0,0,"Z001",0
"4825","6475","10/01/25 00:00:00",4,0,1,0,0,0,0,0,6453.3,4,6525.352000000001,0,0,0,"01",690,0,0,"Z001",0
"4825","6476","10/01/25 00:00:00",4,0,1,0,0,0,0,0,9775.5,4,9838.578,0,0,0,"01",691,0,0,"Z001",0
"4925","6363","10/01/25 00:00:00",10,0,1,0,0,0,0,0,112,10,112,0,0,0,"01",692,0,0,"Z001",0
"4925","6364","10/01/25 00:00:00",6,0,1,0,0,0,0,0,188,6,188,0,0,0,"01",693,0,0,"Z001",0
"4925","1691","10/01/25 00:00:00",6,0,1,0,0,0,0,0,225.01,6,225.01,0,0,0,"01",694,0,0,"Z001",0
"4925","201761","10/01/25 00:00:00",5,0,1,0,0,0,0,0,370.01,5,370.01,0,0,0,"01",695,0,0,"Z001",0
"4925","6616","10/01/25 00:00:00",100,0,1,0,0,0,0,0,150,100,132.0967741935484,0,0,0,"01",696,0,0,"Z001",0
"5025","791","10/01/25 00:00:00",10,0,1,0,0,0,0,0,625,10,625,0,0,0,"01",697,0,0,"Z001",0
"8025","1007","09/15/25 00:00:00",2,0,1,0,0,0,0,0,15000,2,15000,0,0,0,"01",891,0,0,"Z001",0
"8025","858","09/15/25 00:00:00",2,0,1,0,0,0,0,0,1400,2,1400,0,0,0,"01",892,0,0,"Z001",0
