RefNo,TDate,Amount,Posted,Customer,PayFor,CNote,DNote,Receipt,Days,Pick,ClientName,Remark,MINNo,UserName,Company
"41726","08/17/26 00:00:00",50000,0,10065,0,0,0,1,-1,0,,,"41726","RAYYAN","01"
"40926","08/05/26 00:00:00",2200,0,10061,0,0,0,1,-1,0,,,"40926","ABDUL","01"
"12/8/26","08/17/26 00:00:00",6300,0,10052,0,0,0,1,-1,0,,"PAID THROUGH MPESA (SAID SWALEH)",,"ABDUL","01"
"40726","08/12/26 00:00:00",53625,0,341,0,0,0,1,-1,0,,,"40726","ABDUL","01"
"41626","08/17/26 00:00:00",2200,0,10053,0,0,0,1,-1,0,,,"41626","ABDUL","01"
"41826","08/17/26 00:00:00",3650,0,10066,0,0,0,1,-1,0,,,"41826","ABDUL","01"
"41526","08/13/26 00:00:00",85100,0,341,0,0,0,1,-1,0,,,"41526","ABDUL","01"
"42026","08/14/26 00:00:00",23650,0,341,0,0,0,1,-1,0,,,"42026","RAYYAN","01"
"42126","08/15/26 00:00:00",58020,0,341,0,0,0,1,-1,0,,,"42126","RAYYAN","01"
"42226","08/17/26 00:00:00",16010,0,341,0,0,0,1,-1,0,,,"42226","RAYYAN","01"
"42326","08/18/26 00:00:00",16700,0,341,0,0,0,1,-1,0,,,"42326","RAYYAN","01"
"42426","08/18/26 00:00:00",250,0,10041,0,0,0,1,-1,0,,,"42426","RAYYAN","01"
"42626","08/18/26 00:00:00",390,0,10067,0,0,0,1,0,0,,,"42626","RAYYAN","01"
"42726","08/19/26 00:00:00",13000,0,341,0,0,0,1,0,0,,,"42726","RAYYAN","01"
"25926","06/02/26 00:00:00",15270,0,341,0,0,0,1,-1,0,,,"25926","ABDUL","01"
"26226","06/04/26 00:00:00",6030,0,341,0,0,0,1,-1,0,,,"26226","RAYYAN","01"
"26326","06/10/26 00:00:00",7000,0,10029,0,0,0,1,-1,0,,,"26326","RAYYAN","01"
"11.06.2026","06/10/26 00:00:00",999525.65,0,10025,0,0,0,1,-1,0,,"CHEQUE DEPOSITED DTB",,"RAYYAN","01"
"26626","06/06/26 00:00:00",44650,0,341,0,0,0,1,-1,0,,,"26626","RAYYAN","01"
"26726","06/08/26 00:00:00",85750,0,341,0,0,0,1,-1,0,,,"26726","RAYYAN","01"
"26026","06/04/26 00:00:00",500000,0,10028,0,0,0,1,-1,0,,,"26026","RAYYAN","01"
"26926","01/02/26 00:00:00",600000,0,365,0,0,0,1,-1,0,,,"26926","RAYYAN","01"
"27126","02/26/26 00:00:00",170000,0,10030,0,0,0,1,-1,0,,,"27126","RAYYAN","01"
"27526","06/11/26 00:00:00",5120,0,341,0,0,0,1,-1,0,,,"27526","RAYYAN","01"
"27826","03/27/26 00:00:00",298800,0,10031,0,0,0,1,-1,0,,,"27826","ABDUL","01"
"28526","06/18/26 00:00:00",30000,0,10033,0,0,0,1,-1,0,,,"28526","RAYYAN","01"
"28726","06/15/26 00:00:00",2710,0,341,0,0,0,1,-1,0,,,"28726","RAYYAN","01"
"28826","06/16/26 00:00:00",24100,0,341,0,0,0,1,-1,0,,,"28826","RAYYAN","01"
"28926","06/17/26 00:00:00",18920,0,341,0,0,0,1,-1,0,,,"28926","RAYYAN","01"
"29126","06/18/26 00:00:00",26600,0,341,0,0,0,1,-1,0,,,"29126","RAYYAN","01"
"29226","06/20/26 00:00:00",12500,0,10037,0,0,0,1,-1,0,,,"29226","ABDUL","01"
"29426","06/09/26 00:00:00",4000,0,10038,0,0,0,1,-1,0,,,"29426","ABDUL","01"
"29526","06/19/26 00:00:00",6140,0,341,0,0,0,1,-1,0,,,"29526","RAYYAN","01"
"29626","06/20/26 00:00:00",3060,0,341,0,0,0,1,-1,0,,,"29626","RAYYAN","01"
"29726","06/21/26 00:00:00",2600,0,341,0,0,0,1,-1,0,,,"29726","RAYYAN","01"
"29826","06/22/26 00:00:00",2760,0,341,0,0,0,1,-1,0,,,"29826","RAYYAN","01"
"29926","06/24/26 00:00:00",7250,0,341,0,0,0,1,-1,0,,,"29926","RAYYAN","01"
"26126","06/03/26 00:00:00",11700,0,341,0,0,0,1,-1,0,,,"26126","RAYYAN","01"
"27926","06/13/26 00:00:00",76500,0,341,0,0,0,1,-1,0,,,"27926","RAYYAN","01"
"30026","06/25/26 00:00:00",4350,0,10002,0,0,0,1,55,1,,,"30026","RAYYAN","01"
"30226","06/26/26 00:00:00",38000,0,10039,0,0,0,1,-1,0,,,"30226","ABDUL","01"
"30326","06/27/26 00:00:00",48000,0,365,0,0,0,1,-1,0,,,"30326","ABDUL","01"
"30426","02/21/26 00:00:00",23950,0,341,0,0,0,1,-1,0,,,"30426","ABDUL","01"
"30526","06/25/26 00:00:00",34410,0,341,0,0,0,1,-1,0,,,"30526","ABDUL","01"
"30626","06/26/26 00:00:00",2190,0,341,0,0,0,1,-1,0,,,"30626","ABDUL","01"
"30726","06/27/26 00:00:00",16700,0,341,0,0,0,1,-1,0,,,"30726","ABDUL","01"
"31226","06/30/26 00:00:00",24720,0,341,0,0,0,1,-1,0,,,"31226","ABDUL","01"
"31126","06/29/26 00:00:00",70030,0,341,0,0,0,1,-1,0,,,"31126","ABDUL","01"
"31326","02/08/26 00:00:00",60000,0,365,0,0,0,1,-1,0,,,"31326","ABDUL","01"
"31426","07/02/26 00:00:00",954486.22,0,10041,0,0,0,1,-1,0,,,"31426","RAYYAN","01"
"31526","02/24/26 00:00:00",55430,0,365,0,0,0,1,-1,0,,,"31526","ABDUL","01"
"31626","03/12/26 00:00:00",60500,0,365,0,0,0,1,-1,0,,,"31626","ABDUL","01"
"31726","04/08/26 00:00:00",74000,0,365,0,0,0,1,-1,0,,,"31726","RAYYAN","01"
"31826","05/03/26 00:00:00",8300,0,10035,0,0,0,1,-1,0,,,"31826","ABDUL","01"
"31026","06/30/26 00:00:00",14580,0,365,0,0,0,1,-1,0,,,"31026","ABDUL","01"
"31926","07/01/26 00:00:00",11450,0,341,0,0,0,1,-1,0,,,"31926","ABDUL","01"
"32026","07/02/26 00:00:00",8180,0,341,0,0,0,1,-1,0,,,"32026","ABDUL","01"
"32126","01/03/26 00:00:00",51300,0,10018,0,0,0,1,-1,0,,,"32126","ABDUL","01"
"32226","01/03/26 00:00:00",33300,0,10042,0,0,0,1,-1,0,,,"32226","ABDUL","01"
"32326","07/06/26 00:00:00",31400,0,341,0,0,0,1,-1,0,,,"32326","RAYYAN","01"
"32426","05/30/26 00:00:00",26000,0,365,0,0,0,1,-1,0,,,"32426","RAYYAN","01"
"32526","06/08/26 00:00:00",26000,0,365,0,0,0,1,-1,0,,,"32526","RAYYAN","01"
"30.4.2026","04/30/26 00:00:00",40000,0,10043,0,0,0,1,-1,0,,"BANK TRANSFER",,"RAYYAN","01"
"9/06/2026","06/09/26 00:00:00",30000,0,10043,0,0,0,1,-1,0,,"BANK TRANSFER",,"RAYYAN","01"
"2.7.2026","07/02/26 00:00:00",30000,0,10043,0,0,0,1,-1,0,,"BANK TRANSFER",,"RAYYAN","01"
"32826","07/07/26 00:00:00",150000,0,365,0,0,0,1,-1,0,,,"32826","RAYYAN","01"
"33026","07/04/26 00:00:00",195110,0,341,0,0,0,1,-1,0,,,"33026","SAID","01"
"33126","07/06/26 00:00:00",67480,0,341,0,0,0,1,-1,0,,,"33126","ABDUL","01"
"1/1/2026","01/01/26 00:00:00",516721.61,0,341,0,0,0,1,-1,0,,"PAYMENTS ACCUMULATED",,"SAID","01"
"01/1/26","01/01/26 00:00:00",8500,0,367,0,0,0,1,-1,0,,"FULLY  PAID",,"SAID","01"
"01/01/2026","01/01/26 00:00:00",460620.41,0,365,0,0,0,1,-1,0,,"MALSAT TRADERS TRANSFER",,"SAID","01"
"7626","01/02/26 00:00:00",77040,0,341,0,0,0,1,-1,0,,,"7626","RAYYAN","01"
"7726","01/03/26 00:00:00",2750,0,341,0,0,0,1,-1,0,,,"7726","ABDUL","01"
"7826","01/06/26 00:00:00",7450,0,341,0,0,0,1,-1,0,,,"7826","ABDUL","01"
"7926","01/07/26 00:00:00",200,0,341,0,0,0,1,-1,0,,,"7926","ABDUL","01"
"8026","01/08/26 00:00:00",1300,0,341,0,0,0,1,-1,0,,,"8026","ABDUL","01"
"8126","01/09/26 00:00:00",5150,0,341,0,0,0,1,-1,0,,,"8126","ABDUL","01"
"8426","01/13/26 00:00:00",300,0,341,0,0,0,1,-1,0,,,"8426","RAYYAN","01"
"8326","01/12/26 00:00:00",200,0,341,0,0,0,1,-1,0,,,"8326","RAYYAN","01"
"8226","01/10/26 00:00:00",1550,0,341,0,0,0,1,-1,0,,,"8226","RAYYAN","01"
"8526","01/14/26 00:00:00",6200,0,341,0,0,0,1,-1,0,,,"8526","RAYYAN","01"
"8626","01/15/26 00:00:00",400,0,341,0,0,0,1,-1,0,,,"8626","RAYYAN","01"
"8726","01/16/26 00:00:00",5250,0,341,0,0,0,1,-1,0,,,"8726","RAYYAN","01"
"8826","01/20/26 00:00:00",3480,0,341,0,0,0,1,-1,0,,,"8826","RAYYAN","01"
"8926","01/19/26 00:00:00",15560,0,341,0,0,0,1,-1,0,,,"8926","RAYYAN","01"
"9126","01/20/26 00:00:00",15400,0,341,0,0,0,1,-1,0,,,"9126","RAYYAN","01"
"9226","01/21/26 00:00:00",37950,0,341,0,0,0,1,-1,0,,,"9226","RAYYAN","01"
"9326","01/22/26 00:00:00",185030,0,341,0,0,0,1,-1,0,,,"9326","RAYYAN","01"
"9426","01/23/26 00:00:00",37000,0,341,0,0,0,1,-1,0,,,,"RAYYAN","01"
"9626","01/24/26 00:00:00",450,0,341,0,0,0,1,-1,0,,,"9626","RAYYAN","01"
"9426","01/23/26 00:00:00",37000,0,341,0,0,0,1,-1,0,,,"9426","RAYYAN","01"
"9726","01/26/26 00:00:00",11450,0,341,0,0,0,1,-1,0,,,"9726","RAYYAN","01"
"9926","01/27/26 00:00:00",40370,0,341,0,0,0,1,-1,0,,,"9926","RAYYAN","01"
"10026","01/28/26 00:00:00",16090,0,341,0,0,0,1,-1,0,,,"10026","ABDUL","01"
"10126","01/29/26 00:00:00",91750,0,341,0,0,0,1,-1,0,,,"10126","ABDUL","01"
"10226","01/30/26 00:00:00",6120,0,341,0,0,0,1,-1,0,,,"10226","RAYYAN","01"
"10426","01/31/26 00:00:00",11850,0,341,0,0,0,1,-1,0,,,"10426","RAYYAN","01"
"10626","02/02/26 00:00:00",41380,0,341,0,0,0,1,-1,0,,,"10626","RAYYAN","01"
"10726","02/03/26 00:00:00",4150,0,341,0,0,0,1,-1,0,,,"10726","RAYYAN","01"
"10826","02/04/26 00:00:00",5950,0,341,0,0,0,1,-1,0,,,"10826","RAYYAN","01"
"10926","02/05/26 00:00:00",89950,0,341,0,0,0,1,-1,0,,,"10926","ABDUL","01"
"11026","02/06/26 00:00:00",176150,0,341,0,0,0,1,-1,0,,,"11026","RAYYAN","01"
"11126","02/07/26 00:00:00",2879.98,0,341,0,0,0,1,-1,0,,,"11126","RAYYAN","01"
"11326","02/09/26 00:00:00",3050,0,341,0,0,0,1,-1,0,,,"11326","RAYYAN","01"
"11826","02/11/26 00:00:00",1500,0,341,0,0,0,1,-1,0,,,"11826","RAYYAN","01"
"11526","02/10/26 00:00:00",4550,0,341,0,0,0,1,-1,0,,,"11526","ABDUL","01"
"11926","02/12/26 00:00:00",72600,0,341,0,0,0,1,-1,0,,,"11926","RAYYAN","01"
"12026","02/13/26 00:00:00",500,0,341,0,0,0,1,-1,0,,,"12026","RAYYAN","01"
"12226","02/16/26 00:00:00",400,0,341,0,0,0,1,-1,0,,,"12226","ABDUL","01"
"12126","02/14/26 00:00:00",71610,0,341,0,0,0,1,-1,0,,,"12126","RAYYAN","01"
"12426","01/08/26 00:00:00",200433,0,365,0,0,0,1,-1,0,,,"12426","RAYYAN","01"
"12526","02/17/26 00:00:00",13350,0,341,0,0,0,1,-1,0,,,"12526","RAYYAN","01"
"12626","02/18/26 00:00:00",300,0,341,0,0,0,1,-1,0,,,"12626","RAYYAN","01"
"12726","02/19/26 00:00:00",11680,0,341,0,0,0,1,-1,0,,,"12726","RAYYAN","01"
"12826","02/23/26 00:00:00",8280,0,341,0,0,0,1,-1,0,,,"12826","RAYYAN","01"
"13026","02/26/26 00:00:00",14400,0,10010,0,0,0,1,-1,0,,,"13026","SAID","01"
"13526","02/24/26 00:00:00",48440,0,341,0,0,0,1,-1,0,,,"13526","ABDUL","01"
"13626","02/25/26 00:00:00",150,0,341,0,0,0,1,-1,0,,,"13626","RAYYAN","01"
"13826","02/28/26 00:00:00",38150,0,341,0,0,0,1,-1,0,,,"13826","RAYYAN","01"
"13726","02/27/26 00:00:00",11450,0,341,0,0,0,1,-1,0,,,"13726","RAYYAN","01"
"13926","02/26/26 00:00:00",6845,0,341,0,0,0,1,-1,0,,,"13926","ABDUL","01"
"14026","03/02/26 00:00:00",6020,0,341,0,0,0,1,-1,0,,,"14026","RAYYAN","01"
"19826","04/20/26 00:00:00",4780,0,341,0,0,0,1,-1,0,,,"19826","ABDUL","01"
"19926","04/20/26 00:00:00",4780,0,341,0,0,0,1,-1,0,,,"19926","ABDUL","01"
"20026","04/21/26 00:00:00",1980,0,341,0,0,0,1,-1,0,,,"20026","ABDUL","01"
"20126","04/22/26 00:00:00",73730,0,341,0,0,0,1,-1,0,,,"20126","ABDUL","01"
"20226","04/23/26 00:00:00",20800,0,341,0,0,0,1,-1,0,,,"20226","ABDUL","01"
"20326","04/24/26 00:00:00",2600,0,341,0,0,0,1,-1,0,,,"20326","ABDUL","01"
"20426","04/13/26 00:00:00",182690.53,0,365,0,0,0,1,-1,0,,,"20426","RAYYAN","01"
"20826","04/28/26 00:00:00",4115,0,341,0,0,0,1,-1,0,,,"20826","RAYYAN","01"
"05/05/26","05/05/26 00:00:00",10000,0,10017,0,0,0,1,-1,0,,"CASH",,"RAYYAN","01"
"06/05/26","05/06/26 00:00:00",10000,0,10017,0,0,0,1,-1,0,,"CASH",,"RAYYAN","01"
"20926","04/29/26 00:00:00",27900,0,341,0,0,0,1,-1,0,,,"20926","RAYYAN","01"
"21026","04/30/26 00:00:00",5350,0,341,0,0,0,1,-1,0,,,"21026","RAYYAN","01"
"21126","05/01/26 00:00:00",550,0,341,0,0,0,1,-1,0,,,"21126","RAYYAN","01"
"21226","05/02/26 00:00:00",56150,0,341,0,0,0,1,-1,0,,,"21226","RAYYAN","01"
"21326","05/04/26 00:00:00",412950,0,341,0,0,0,1,-1,0,,,"21326","RAYYAN","01"
"21426","05/05/26 00:00:00",5075,0,341,0,0,0,1,-1,0,,,"21426","RAYYAN","01"
"21526","05/06/26 00:00:00",24250,0,341,0,0,0,1,-1,0,,,"21526","RAYYAN","01"
"8/05/2026","05/08/26 00:00:00",10000,0,10017,0,0,0,1,-1,0,,"PAID IN CASH",,"SAID","01"
"9/5/2026","05/09/26 00:00:00",10000,0,10017,0,0,0,1,-1,0,,"PAID IN CASH",,"RAYYAN","01"
"21626","04/16/26 00:00:00",20235,0,365,0,0,0,1,-1,0,,,"21626","RAYYAN","01"
"14526","03/09/26 00:00:00",140000,0,367,0,0,0,1,-1,0,,,"14526","RAYYAN","01"
"21726","03/23/26 00:00:00",89320,0,365,0,0,0,1,-1,0,,,"21726","RAYYAN","01"
"21826","01/18/26 00:00:00",120000,0,365,0,0,0,1,-1,0,,,"21826","RAYYAN","01"
"21926","02/24/26 00:00:00",1000,0,10022,0,0,0,1,-1,0,,,"21926","RAYYAN","01"
"04/03/26","03/04/26 00:00:00",30000,0,10022,0,0,0,1,-1,0,,"PAYBILL",,"RAYYAN","01"
"21/04/26","04/21/26 00:00:00",25000,0,10022,0,0,0,1,-1,0,,"PAYBILL",,"RAYYAN","01"
"22226","05/07/26 00:00:00",1950,0,341,0,0,0,1,-1,0,,,"22226","RAYYAN","01"
"22326","05/08/26 00:00:00",17100,0,341,0,0,0,1,-1,0,,,"22326","RAYYAN","01"
"22426","05/09/26 00:00:00",22950,0,341,0,0,0,1,-1,0,,,"22426","RAYYAN","01"
"22526","05/10/26 00:00:00",1450,0,341,0,0,0,1,-1,0,,,"22526","RAYYAN","01"
"22626","05/12/26 00:00:00",11110,0,341,0,0,0,1,-1,0,,,"22626","RAYYAN","01"
"22726","05/13/26 00:00:00",31250,0,341,0,0,0,1,-1,0,,,"22726","RAYYAN","01"
"22826","05/14/26 00:00:00",97820,0,341,0,0,0,1,-1,0,,,"22826","RAYYAN","01"
"22926","05/15/26 00:00:00",1850,0,341,0,0,0,1,-1,0,,,"22926","RAYYAN","01"
"18/5/26","05/18/26 00:00:00",61510,0,355,0,0,0,1,-1,0,,"WITHDRAWAL (MPESA)",,"ABDUL","01"
"23026","05/15/26 00:00:00",2200,0,355,0,0,0,1,-1,0,,,"23026","ABDUL","01"
"14.05.2026","05/14/26 00:00:00",50000,0,10012,0,0,0,1,-1,0,,"CASH HALL NSSF BUIDING",,"RAYYAN","01"
"23226","05/16/26 00:00:00",7160,0,341,0,0,0,1,-1,0,,,"23226","ABDUL","01"
"23326","05/17/26 00:00:00",60600,0,341,0,0,0,1,-1,0,,,"23326","ABDUL","01"
"23426","05/19/26 00:00:00",6250,0,341,0,0,0,1,-1,0,,,"23426","ABDUL","01"
"23526","05/20/26 00:00:00",2205,0,341,0,0,0,1,-1,0,,,"23526","ABDUL","01"
"23926","05/21/26 00:00:00",98750,0,341,0,0,0,1,-1,0,,,"23926","ABDUL","01"
"24326","05/22/26 00:00:00",11230,0,341,0,0,0,1,-1,0,,,"24326","RAYYAN","01"
"24426","05/23/26 00:00:00",5150,0,341,0,0,0,1,-1,0,,,"24426","RAYYAN","01"
"24526","05/25/26 00:00:00",48450,0,341,0,0,0,1,-1,0,,,"24526","RAYYAN","01"
"27/05/26","05/27/26 00:00:00",14000,0,10024,0,0,0,1,-1,0,,"MPESA",,"RAYYAN","01"
"24926","05/28/26 00:00:00",55250,0,365,0,0,0,1,-1,0,,,"24926","RAYYAN","01"
"25026","05/29/26 00:00:00",52750,0,365,0,0,0,1,-1,0,,,"25026","ABDUL","01"
"25126","05/28/26 00:00:00",166795,0,341,0,0,0,1,-1,0,,,"25126","ABDUL","01"
"25226","05/29/26 00:00:00",125810,0,341,0,0,0,1,-1,0,,,"25226","RAYYAN","01"
"25326","05/30/26 00:00:00",101200,0,341,0,0,0,1,-1,0,,,"25326","ABDUL","01"
"25626","05/07/26 00:00:00",201000,0,10025,0,0,0,1,-1,0,,,"25626","ABDUL","01"
"25826","06/01/26 00:00:00",11600,0,341,0,0,0,1,-1,0,,,"25826","ABDUL","01"
"33226","07/07/26 00:00:00",2280,0,341,0,0,0,1,-1,0,,,"33226","ABDUL","01"
"14126","03/03/26 00:00:00",8330,0,341,0,0,0,1,-1,0,,,"14126","RAYYAN","01"
"14326","03/07/26 00:00:00",50960,0,10011,0,0,0,1,-1,0,,,"14326","RAYYAN","01"
"02/01/2026","01/02/26 00:00:00",28490,0,10002,0,0,0,1,229,1,,"CHEQUE",,"ABDUL","01"
"14626","03/04/26 00:00:00",10150,0,341,0,0,0,1,-1,0,,,"14626","ABDUL","01"
"14726","03/05/26 00:00:00",6040,0,341,0,0,0,1,-1,0,,,"14726","ABDUL","01"
"10/3/26","03/10/26 00:00:00",26970,0,10002,0,0,0,1,162,1,,"CHEQUE",,"ABDUL","01"
"14926","03/10/26 00:00:00",120000,0,10012,0,0,0,1,-1,0,,,"14926","ABDUL","01"
"13226","02/20/26 00:00:00",170810,0,341,0,0,0,1,-1,0,,,"13226","RAYYAN","01"
"9826","01/27/26 00:00:00",115616.41,0,365,0,0,0,1,-1,0,,,"9826","ABDUL","01"
"11626","02/11/26 00:00:00",55450,0,365,0,0,0,1,-1,0,,,"11626","RAYYAN","01"
"14826","03/06/26 00:00:00",60090,0,341,0,0,0,1,-1,0,,,"14826","ABDUL","01"
"15026","03/07/26 00:00:00",44720.01,0,341,0,0,0,1,-1,0,,,"15026","ABDUL","01"
"15126","03/09/26 00:00:00",40950,0,341,0,0,0,1,-1,0,,,"15126","RAYYAN","01"
"15226","03/10/26 00:00:00",61300,0,341,0,0,0,1,-1,0,,,"15226","RAYYAN","01"
"15326","03/11/26 00:00:00",10450,0,341,0,0,0,1,-1,0,,,"15326","RAYYAN","01"
"15426","03/12/26 00:00:00",22700,0,341,0,0,0,1,-1,0,,,"15426","RAYYAN","01"
"15626","03/13/26 00:00:00",18450,0,341,0,0,0,1,-1,0,,,"15626","RAYYAN","01"
"15726","03/14/26 00:00:00",15100,0,341,0,0,0,1,-1,0,,,"15726","ABDUL","01"
"15926","03/17/26 00:00:00",104850,0,341,0,0,0,1,-1,0,,,"15926","RAYYAN","01"
"16026","03/18/26 00:00:00",64510,0,341,0,0,0,1,-1,0,,,"16026","RAYYAN","01"
"15826","03/16/26 00:00:00",32900,0,341,0,0,0,1,-1,0,,,"15826","ABDUL","01"
"16126","03/19/26 00:00:00",8990,0,341,0,0,0,1,-1,0,,,"16126","RAYYAN","01"
"14426","03/07/26 00:00:00",17050,0,10011,0,0,0,1,-1,0,,,"14426","ABDUL","01"
"16326","03/26/26 00:00:00",19630,0,341,0,0,0,1,-1,0,"ZEINAB SWALEH",,"16326","RAYYAN","01"
"16526","03/27/26 00:00:00",62250,0,10017,0,0,0,1,-1,0,,,"16526","RAYYAN","01"
"10/2/2026","02/10/26 00:00:00",93900,0,369,0,0,0,1,-1,0,,"CHEQUE",,"RAYYAN","01"
"10/1/2026","01/10/26 00:00:00",14800,0,356,0,0,0,1,-1,0,,"CASH",,"RAYYAN","01"
"16726","03/23/26 00:00:00",13500,0,341,0,0,0,1,-1,0,,,"16726","RAYYAN","01"
"17026","03/25/26 00:00:00",3250,0,341,0,0,0,1,-1,0,,,"17026","RAYYAN","01"
"17126","03/26/26 00:00:00",350,0,341,0,0,0,1,-1,0,,,"17126","RAYYAN","01"
"17226","03/27/26 00:00:00",4100,0,341,0,0,0,1,-1,0,,,"17226","RAYYAN","01"
"17426","03/29/26 00:00:00",1400,0,341,0,0,0,1,-1,0,,,"17426","RAYYAN","01"
"17526","03/30/26 00:00:00",13500,0,341,0,0,0,1,-1,0,,,"17526","RAYYAN","01"
"17826","04/01/26 00:00:00",5750,0,341,0,0,0,1,-1,0,,,"17826","ABDUL","01"
"17726","03/07/26 00:00:00",2200,0,341,0,0,0,1,-1,0,,,"17726","RAYYAN","01"
"18026","04/04/26 00:00:00",15945,0,341,0,0,0,1,-1,0,,,"18026","RAYYAN","01"
"9/4/26","04/09/26 00:00:00",20000,0,10017,0,0,0,1,-1,0,,"CASH",,"RAYYAN","01"
"18526","04/07/26 00:00:00",53280,0,341,0,0,0,1,-1,0,,,"18526","RAYYAN","01"
"18626","04/08/26 00:00:00",4380,0,341,0,0,0,1,-1,0,,,"18626","RAYYAN","01"
"18726","04/09/26 00:00:00",171380,0,341,0,0,0,1,-1,0,,,"18726","RAYYAN","01"
"18826","04/10/26 00:00:00",1400,0,341,0,0,0,1,-1,0,,,"18826","RAYYAN","01"
"14/4/2026","04/14/26 00:00:00",20000,0,10017,0,0,0,1,-1,0,,"CASH",,"SAID","01"
"19026","04/13/26 00:00:00",83730,0,341,0,0,0,1,-1,0,,,"19026","SAID","01"
