GRNNo,LPONo,TDate,DNote,Item,Quantity,Price,VATAmount,NetAmount,Amount,Posted,Balance,SortOrder,Pick,VAT,Credit,Supplier,CurrMonth,Days,RefNo,Cash,BatchNo,Expiry,Blank,Quantity2,Price2,Return,UserName,Official,Remarks,Cancelled,B4,Curr,AVGPrice,AVGPrice2,StCn,Company,GoodsRet,Transfer,VATIncl,Discount,CostPrice,CostPrice2,Ref,BBF,BinLoc,InvNo,NetPrice
"31926",,"08/05/26 00:00:00",,"262299",3,3000,0,9000,9000,0,9000,2226,0,0,0,10055,"8. AUGUST",16,"31926",1,,,1,0,-1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,3000,0,,0,"Z001",,3000
"32026",,"08/05/26 00:00:00",,"262300",5,220,0,1100,1100,0,1100,2227,0,0,0,10057,"8. AUGUST",16,"32026",1,,,1,0,-1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,220,0,,0,"Z001",,220
"32126",,"08/06/26 00:00:00",,"262301",2,12350,0,24700,24700,0,24700,2228,0,0,0,372,"8. AUGUST",15,"32126",1,,,1,0,-1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,12350,0,,0,"Z001",,12350
"32126",,"08/06/26 00:00:00",,"252049",10,14040,0,140400,140400,0,140400,2229,0,0,0,372,"8. AUGUST",15,"32126",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,14040,1,,0,"Z001",,14040
"32126",,"08/06/26 00:00:00",,"262113",2,32000,0,64000,64000,0,64000,2230,0,0,0,372,"8. AUGUST",15,"32126",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,32000,1,,0,"Z001",,32000
"32226",,"08/06/26 00:00:00",,"262302",1,6500,0,6500,6500,0,6500,2231,0,0,0,10023,"8. AUGUST",15,"32226",1,,,1,0,-1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,6500,0,,0,"Z001",,6500
"32326",,"08/01/26 00:00:00",,"262290",20,10312.5,0,206250,206250,0,206250,2232,0,0,0,345,"8. AUGUST",20,"32326",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,10312.5,1,,0,"Z001",,10312.5
"32426",,"08/04/26 00:00:00",,"201761",10,250,0,2500,2500,0,2500,2233,0,0,0,10015,"8. AUGUST",17,"32426",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,250,1,,0,"Z001",,250
"32426",,"08/04/26 00:00:00",,"262303",10,450,0,4500,4500,0,4500,2234,0,0,0,10015,"8. AUGUST",17,"32426",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,450,0,,0,"Z001",,450
"32426",,"08/04/26 00:00:00",,"6063",200,15.5,0,3100,3100,0,3100,2236,0,0,0,10015,"8. AUGUST",17,"32426",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,15.5,1,,0,"Z001",,15.5
"32426",,"08/04/26 00:00:00",,"252029",40,25,0,1000,1000,0,1000,2237,0,0,0,10015,"8. AUGUST",17,"32426",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,25,1,,0,"Z001",,25
"32526",,"08/04/26 00:00:00",,"973",30,750,0,22500,22500,0,22500,2238,0,0,0,352,"8. AUGUST",17,"32526",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,750,1,,0,"Z001",,750
"32526",,"08/04/26 00:00:00",,"262240",30,35,0,1050,1050,0,1050,2239,0,0,0,352,"8. AUGUST",17,"32526",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,35,1,,0,"Z001",,35
