GrpNo,GrpName,GrpType,NewCode
"001","FITTINGS","0",1
"002","SOLAR SYSTEMS","0",2
"003","HOME APP","0",3
"004","PIPES&PVC FTNGS","0",4
"005","FANS","0",5
"006","CLIPSAL - FTNGS","0",6
"007","CABLES","0",7
"008","POWERMAX","0",8
"009","GUARDS","0",9
"010","MULTISOCKET&EXT","0",10
"011","MAINS&MEM ","0",11
"012","PHILIPS BULBS","0",12
"013","TUBES","0",13
"015","UK FTNGS","0",15
"016","SCREWS,CLIPS&TAPE","0",16
"017","VIVACE CLIPSAL","0",17
"018","TOOLS","0",18
"021","HAGER SWITCHES","0",21
"023","HAVELLS","0",23
"025","CHINT","0",25
"026","WATFORD SWITCHES","0",26
"027","INDOASIAN","0",27
"028","ELITE SWITCHES","0",28
"029","CARL AND GILBERTS","0",29
"031","MCL CABLES","0",31
"032","COAST CABLES","0",32
"033","MEM PRODUCTS","0",33
"034","LED PRODUCTS","0",34
"035","LIPER PRODUCTS","0",35
"036","ONESTO","0",36
"038","ANDELI","0",38
"040","PAINTS","0",40
"042","PUMPS & CONTROLERS","0",42
"044","TAPS & SANITARY EQUIPMENT","0",44
"049","IFLUX SWITCHES","0",49
"052","CCTV FITTINGS & EQUIPMENTS","0",52
"053","TRONIC PRODUCTS","0",53
"Z001","Zone1","3",55
