ItemCode,ItemDesc,Units,GroupCode,Amount,StockQnty,ReOrderLevel,Pick,OrderQnty,VAT,Gross,SUnits,Factor,ItemID,ParentKey,SysBal,SysPrice2,Balance2,SysBal2,StockQntyB,StockQnty1,StockQnty2,StockQnty3,StockQnty1B,StockQnty2B,StockQnty3B,BBF01,BBFLse01,SellingPrice01,SellingPriceLoose01,OPPrice01,OPPriceLse01,Profit01,ProfitLse01,BBF02,BBFLse02,SellingPrice02,SellingPriceLoose02,OPPrice02,OPPriceLse02,Profit02,ProfitLse02,BBF03,BBFLse03,SellingPrice03,SellingPriceLoose03,OPPrice03,OPPriceLse03,Profit03,ProfitLse03,LastPrice,ItemSize,Brand,NewCode,SellingPriceMin01,SellingPriceLooseMin01,SellingPriceMin02,SellingPriceLooseMin02,SellingPriceMin03,SellingPriceLooseMin03,BBF04,BBFLse04,SellingPrice04,SellingPriceLoose04,SellingPriceMin04,SellingPriceLooseMin04,OPPrice04,OPPriceLse04,Profit04,ProfitLse04,BBF05,BBFLse05,SellingPrice05,SellingPriceLoose05,SellingPriceMin05,SellingPriceLooseMin05,OPPrice05,OPPriceLse05,Profit05,ProfitLse05,BBF06,BBFLse06,SellingPrice06,SellingPriceLoose06,SellingPriceMin06,SellingPriceLooseMin06,OPPrice06,OPPriceLse06,Profit06,ProfitLse06,BBF07,BBFLse07,SellingPrice07,SellingPriceLoose07,SellingPriceMin07,SellingPriceLooseMin07,OPPrice07,OPPriceLse07,Profit07,ProfitLse07,BBF08,BBFLse08,SellingPrice08,SellingPriceLoose08,SellingPriceMin08,SellingPriceLooseMin08,OPPrice08,OPPriceLse08,Profit08,ProfitLse08,BBF09,BBFLse09,SellingPrice09,SellingPriceLoose09,SellingPriceMin09,SellingPriceLooseMin09,OPPrice09,OPPriceLse09,Profit09,ProfitLse09,BBF10,BBFLse10,SellingPrice10,SellingPriceLoose10,SellingPriceMin10,SellingPriceLooseMin10,OPPrice10,OPPriceLse10,Profit10,ProfitLse10,PromoQty,PromoDisc,PromoQty2,PromoItem,Location,OPPrice,Alias,PrintDesc,ItemDesc2,Zones,HSCode
"262303","DP RECHARGEABLE F17 PUMPKIN",,"034",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"DP RECHARGEABLE F17 PUMPKIN","DP RECHARGEABLE F17 PUMPKIN",,"#Z001;Zone1|",
"262304","W/PROOF ADAPTOR BOX 300*250*80",,"001",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"W/PROOF ADAPTOR BOX 300*250*80","W/PROOF ADAPTOR BOX 300*250*80",,"#Z001;Zone1|",
"262305","GARDEN LIGHT WITH STAND 3IN1",,"001",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"GARDEN LIGHT WITH STAND 3IN1","GARDEN LIGHT WITH STAND 3IN1",,"#Z001;Zone1|",
"262306","LITHIUM BATTERY 16KW SRNE",,"002",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"LITHIUM BATTERY 16KW SRNE","LITHIUM BATTERY 16KW SRNE",,"#Z001;Zone1|",
"262307","INVERTER 16KW DEYE",,"002",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"INVERTER 16KW DEYE","INVERTER 16KW DEYE",,"#Z001;Zone1|",
"262308","SOLAR STREETLIGHT 200W JNATE",,"002",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"SOLAR STREETLIGHT 200W JNATE","SOLAR STREETLIGHT 200W JNATE",,"#Z001;Zone1|",
"262309","INVERTER 1000W PM",,"002",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"INVERTER 1000W PM","INVERTER 1000W PM",,"#Z001;Zone1|",
"262310","OGLEX 4G2W",,"001",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"OGLEX 4G2W","OGLEX 4G2W",,"#Z001;Zone1|",
"262311","OGLEX 3G2W",,"001",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"OGLEX 3G2W","OGLEX 3G2W",,"#Z001;Zone1|",
"262312","OGLEX DP SWITCH 45A",,"001",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"OGLEX DP SWITCH 45A","OGLEX DP SWITCH 45A",,"#Z001;Zone1|",
"262313","OGLEX HOLDER MULTI STR/ANGLE",,"001",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"OGLEX HOLDER MULTI STR/ANGLE","OGLEX HOLDER MULTI STR/ANGLE",,"#Z001;Zone1|",
"262315","OGLEX HOLDER MULTI HANGING",,"001",0,0,0,0,0,0,0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","Z001",0,"OGLEX HOLDER MULTI HANGING","OGLEX HOLDER MULTI HANGING",,"#Z001;Zone1|",
