type,product,report_value,db_value
STOCK,CABLE TIES 7.6*400,3,0.00
STOCK,COSLIK CEILING ROSE BASE,42,0.00
STOCK,COSLIK CHANGEOVER 40A,5,0.00
STOCK,ROTARY WARNING LIGHT,8,0.00
STOCK,CLI 13AMPS SOCKET,9,49.00
STOCK,CLI 13AMPS T/SOCKET,0,30.00
STOCK,CLI 15AMPS SOCKET,0,20.00
STOCK,CLI 1G2W,0,50.00
STOCK,CLI 2G2W,0,30.00
STOCK,CLI 3G2W,0,30.00
STOCK,CLI 4G2W,0,10.00
STOCK,CLI 5G2W,0,10.00
STOCK,CLI DP SWITCH,0,30.00
STOCK,CLI TOP PLUG 13AMPS,0,24.00
STOCK,CLIPSAL 15AMPS TOP PLUG,0,24.00
STOCK,CLIPSAL BELL SWITCH,0,10.00
STOCK,1.5 PVC COAST CABLES,61,51.00
STOCK,1.5 SINGLE HTG,67,153.00
STOCK,10.0 TRONIC SINGLE,3,0.00
STOCK,2.5  PVC COAST CABLES,73,0.00
STOCK,4.0 PVC COAST CABLES,16,18.00
STOCK,4.0 SINGLE HTG,1,0.00
STOCK,6.0 PVC COAST CABLES,11,0.00
STOCK,BLUE SUBMERSIBLE 1.5MM 4 CORE,115,0.00
STOCK,BLUE SUBMERSIBLE 2.5MM 4 CORE,417,380.00
STOCK,FLEX 0.5 CCL  2CORE,1,0.00
STOCK,FLEX 0.5 CCL 3CORE,1,0.00
STOCK,FLEX 0.75 CCL  3CORE,2,0.00
STOCK,FLEX 0.75 CCL 2CORE,1,0.00
STOCK,FLEX 1.0 CCL  3CORE,1,0.00
STOCK,FLEX 1.5 CCL  3CORE,0,59.00
STOCK,FLEX 2.5 CCL  4CORE,1,0.00
STOCK,FLEX 4.0MM 4CORE FLEX BLACK,0.77,100.77
STOCK,TWE 1.5 COAST CABLES,4,0.00
STOCK,TWE 1.5 TRONIC,4,0.00
STOCK,TWE 2.5 COAST CABLES,3,19.50
STOCK,TWE 4.0 COAST CABLES,1,0.00
STOCK,TWE 6.0 COAST CABLES,0,86.00
STOCK,TWIN FLAT 1.0 COAST CABLES,1,47.00
STOCK,TWIN FLAT 1.5 TRONIC,1,0.00
STOCK,TWIN FLAT 2.5 COAST CABLES,1,0.00
STOCK,ELITE  13AMPS SOCKET,0,110.00
STOCK,ELITE  15AMPS  SOCKET,0,50.00
STOCK,ELITE 1G2W,0,90.00
STOCK,ELITE 2G2W,0,70.00
STOCK,ELITE 3G2W,0,40.00
STOCK,ELITE 4G2W,0,30.00
STOCK,ELITE 5G2W,0,10.00
STOCK,ELITE BELL SWITCH,0,20.00
STOCK,ELITE COOKER UNIT,0,25.00
STOCK,ELITE DP W/HEATER SWITCH,0,50.00
STOCK,ELITE INTEMEDIATE,0,10.00
STOCK,ELITE TWIN 13AMPS,0,50.00
STOCK,CAPACTOR FAN,83,25.00
STOCK,ORIENT ELECTRIC DELUXE,13,82.00
STOCK,ORIENT HURRICCANE 1400MM ALU,3,8.00
STOCK,ORIENT ORBIT,0,28.00
STOCK,ORIENT SHORTBLADE 900 MM,3,0.00
STOCK,ORIENT STAND FAN,2,8.00
STOCK,REGULATOR ORIGINAL,5,10.00
STOCK,WALL FAN,3,0.00
STOCK,13AMPS TOP PLUG,47,0.00
STOCK,4 WAY EXTENSION MULTI,2,0.00
STOCK,5WAY EXTENSION,1,0.00
STOCK,6WAY EXTENSION,1,0.00
STOCK,AMPLIFIER 60W,1,36.00
STOCK,CAPACITOR METAL,56,47.00
STOCK,DIFUSER 2FT LIGHT,7,0.00
STOCK,DING  DONG BELL,8,9.00
STOCK,ENCLOSURE 12WAY,12,0.00
STOCK,ENCLOSURE 2WAY,2,0.00
STOCK,ENCLOSURE 4WAY,6,0.00
STOCK,ENCLOSURE 8WAY,12,0.00
STOCK,ENCLOSURE 9WAY,2,0.00
STOCK,FLOAT SWITCH,8,0.00
STOCK,FLOAT SWITCH ITALY,5,0.00
STOCK,GYPSUM SCREW,4929,0.00
STOCK,HOLDER COSLIK,508,268.00
STOCK,HOLDERS C&G,169,294.00
STOCK,INDUSTRIAL SOCKETS 32/16AMPS WPROOF,8,11.00
STOCK,ISOLATOR SWITCH 35AMPS  - 63AMPS,2,0.00
STOCK,MERCURY  UNION FLOAT SWITCH,0,1.00
STOCK,MULTIHOLDER,42,0.00
STOCK,PHILI 2FT FTNG,0,30.00
STOCK,PHOTOCELL,6,0.00
STOCK,PLASTIC BULK HEAD,0,25.00
STOCK,PLASTIC PEGS S10,20,13.00
STOCK,PLASTIC PEGS S12,8,0.00
STOCK,ROUND COVER BIG,90,0.00
STOCK,ROUND COVER SMALL,174,74.00
STOCK,SCANFORD 4FT FTNG,0,24.00
STOCK,SCREW DRIVER,10,0.00
STOCK,SPORTLIGHT EUROMATT,0,7.00
STOCK,SQUARE COVER,87,0.00
STOCK,STRIPLITE FTNG COMP,0,4.00
STOCK,W/PROOF ADAPTOR BOX 100*100*70,4,0.00
STOCK,W/PROOF ADAPTOR BOX 150*150*70,2,0.00
STOCK,W/PROOF ADAPTOR BOX 200*155*80,2,0.00
STOCK,W/PROOF ADAPTOR BOX 200*200*80,1,0.00
STOCK,W/PROOF ADAPTOR BOX 85*85*50,6,0.00
STOCK,WIRELESS BELL,1,0.00
STOCK,A/C GUARD 32AMPS,4,0.00
STOCK,AVR 1000VA STABALISER,10,0.00
STOCK,AVS 30AMPS,1,0.00
STOCK,AVS13,5,0.00
STOCK,AVS15,3,1.00
STOCK,FREOGUARD 16AMPS,0,1.00
STOCK,FRIDGE GUARD,1,0.00
STOCK,FRIDGE STABALIZERS 450M,0,1.00
STOCK,TV STABALIZERS 20M,0,2.00
STOCK,VOLTAGE PROTECTOR,5,4.00
STOCK,HAGER 13AMPS SOCKET,0,40.00
STOCK,HAGER 1G2W,0,70.00
STOCK,HAGER 2G2W,0,50.00
STOCK,HAGER 3G2W,0,30.00
STOCK,HAGER 4G2W,0,20.00
STOCK,IRON PHILIPS ORIGINAL,0,6.00
STOCK,MICROPHONE WIRELESS,1,0.00
STOCK,RECHARGEABLE SD-6803R,2,0.00
STOCK,RECHARGEABLE SD-6825R,2,0.00
STOCK,AC FLOODLIGHT  50W,6,2.00
STOCK,AC FLOODLIGHT 200W VELLMAX,0,2.00
STOCK,AC FLOODLIGHT 20W,5,0.00
STOCK,AC FLOODLIGHT 30W,11,5.00
STOCK,AC FLOODLIGHT SAVELITE 100W,7,1.00
STOCK,DIFUSER LED 4FT 100W,29,17.00
STOCK,DP RECHARGEABLE BULB 30/40,38,19.00
STOCK,ENSAVE LED AC BULB 11W,95,0.00
STOCK,ENSAVE LED BULKHEAD 15W,15,2.00
STOCK,ENSAVE LED BULKHEAD 18W,24,2.00
STOCK,ENSAVE LED T-BULB 40W,27,0.00
STOCK,ENSAVE MOTION SENSOR BULB,27,9.00
STOCK,INTELLIGENT BULB 12W VELLMAX,21,0.00
STOCK,LED 2FT FITTING,24,0.00
STOCK,LED 2FT TUBES,69,0.00
STOCK,LED 4FT FITTING,18,0.00
STOCK,LED 4FT TUBE,168,0.00
STOCK,LED BULKHEAD 14W,5,0.00
STOCK,LED BULKHEAD 20W,6,0.00
STOCK,LED BULKHEAD 24W/18W/15W/12W,11,0.00
STOCK,63A KATKO CHANGEOVER,4,0.00
STOCK,CUTOUT SINGLE,1,12.00
STOCK,EARTHRODE,39,0.00
STOCK,EARTHRODE BIG,16,0.00
STOCK,FUSE 80A KMBG,0,18.00
STOCK,HENLEY SINGLE CUT OUT,0,5.00
STOCK,HENLEY TWIN CUT OUT,0,2.00
STOCK,MEM 4WAY,0,14.00
STOCK,MEM 6WAY,0,6.00
STOCK,MEM 8WAY BOARD,0,1.00
STOCK,MEM MCB 2ND 6/10/16/20/32AMPS,0,24.00
STOCK,MEM MCB 6A/10A/16A/20A/32A/,0,216.00
STOCK,ORDINARY 2WSWITCH,0,2.00
STOCK,ORDINARY 3WSWITCH,0,5.00
STOCK,WYLEX  3WAY CLASSIC,0,2.00
STOCK,BEND 20MM,1495,0.00
STOCK,BEND 32MM,35,0.00
STOCK,BLANK COVER,0,60.00
STOCK,COUPLERS 20MM BLACK/WHITE,3921,4691.00
STOCK,COUPLERS 25MM BLACK/WHITE,2134,2149.00
STOCK,COUPLERS 32MM,30,18.00
STOCK,FLEXIBLE  PIPE 20MM BLACK,1,0.00
STOCK,FLEXIBLE PIPE 20MM WHITE,1,0.00
STOCK,FLEXIBLE PIPE 25MM WHITE,1,0.00
STOCK,HEAVY GAUGE PIPE 20MM,336,679.00
STOCK,HEAVY GAUGE PIPE 25MM 1INCH,142,264.00
STOCK,HEAVY GUAGE PIPE 32MM,62,30.00
STOCK,JUNC 1W,0,50.00
STOCK,JUNC 3W BLACK 25MM,314,565.00
STOCK,JUNC2W,0,300.00
STOCK,JUNC4W BLACK 20MM,373,651.00
STOCK,JUNC4W WHITE 20MM,240,367.00
STOCK,PATTRESS WHITE/BLACK,192,321.00
STOCK,PEDROLLO 0.5HP,8,0.00
STOCK,PIPE 20MM,0,529.00
STOCK,ROUND BOX,0,350.00
STOCK,ROUND COVER,0,200.00
STOCK,S/CONDUIT BOX,319,1150.00
STOCK,SADDLES 25MM,212,158.00
STOCK,SADDLES CLIPS 32MM,498,0.00
STOCK,SADLES 20 MM,308,0.00
STOCK,SWITCH BOX TWIN,0,170.00
STOCK,TRUNKING 2*1,72,13.00
STOCK,TRUNKING MINI,219,192.00
STOCK,TWIN BLANK CVER,27,0.00
STOCK,TWIN PATTRESS WHITE/BLACK,165,177.00
STOCK,CEILLINGROSE COMPLETE,58,20.00
STOCK,CHOKE PMAX,0,39.00
STOCK,METAL 13AMPS SOCKETS,12,8.00
STOCK,METAL 15AMPS SOCKET,11,6.00
STOCK,METAL TWIN 13A SOCKET,8,3.00
STOCK,P/MAX TOP PLUG13,0,20.00
STOCK,PMAX 13AMPS WITH NEON,0,20.00
STOCK,PMAX 4FT TWIN FTNG,0,6.00
STOCK,PMAX BELL PUSH,0,20.00
STOCK,PMAX DP SWITCH,0,50.00
STOCK,PMAX TV SOCKETS,0,10.00
STOCK,PMAX13AMPS SOCKET,0,110.00
STOCK,PMAX13AMPS T/SOCKET,0,65.00
STOCK,PMAX15AMPS SOCKET,0,60.00
STOCK,PMAX1G2W,0,90.00
STOCK,PMAX2G2W,0,80.00
STOCK,PMAX3G2W,0,50.00
STOCK,PMAX4G2W,0,40.00
STOCK,PMAXCOOKER UNIT,0,25.00
STOCK,POWERMAX  12WAY BOARD,0,1.00
STOCK,POWERMAX 4WAY BOARD,0,8.00
STOCK,POWERMAX 6/7 WAY BOARD,0,12.00
STOCK,POWERMAX MCBS,0,264.00
STOCK,ATLAS HYDRA 1INCH SELF CLEANING FILTER,2,1.00
STOCK,PEDROLO CPM158 1HP 0.75KW,2,0.00
STOCK,VICOUNTE  VCP 158 1HP,1,0.00
STOCK,CABLE CLIP 16/20MM,16.82,0.00
STOCK,CABLE CLIPS MIXED,2897.25,3875.50
STOCK,CELLPACK (M11 ),33,27.00
STOCK,CONNECTOR 10AMPS,0,24.00
STOCK,CONNECTORS 15AMPS,0,24.00
STOCK,CONNECTORS 30AMPS,0,12.00
STOCK,GLOBE SMALL NO 2,0,75.00
STOCK,HOOK FAN LOCAL,116,0.00
STOCK,HOOKS FAN 10MM,0,31.00
STOCK,INSPECTION BOX (100*100*70),4,0.00
STOCK,INSPECTION BOX (150*150*70),3,0.00
STOCK,INSPECTION BOX (200*155*80),2,0.00
STOCK,INSPECTION BOX (200*200*80),2,0.00
STOCK,LOOPING SCREW,4.78,1.78
STOCK,PLASTIC PEG  6MM,4,2.00
STOCK,PLASTIC PEG 8MM,25,0.00
STOCK,SWITCH SCREW,3.55,0.00
STOCK,TAPE ORIGINAL  BIG,213,54.00
STOCK,TAPE ORIGINAL  SMALL,320,192.00
STOCK,WOOD S,0,2700.00
STOCK,25MM BATTERY CABLE,25,18.00
