report_name,report_stock,db_candidates
AUTOMATIC CHANGEOVER 2P 63A,2,AUTOMATIC CHANGEOVER 2P 63A DINRAIL; AUTOMATIC CHANGEOVER 2P 63A WALLMOUNT
AUTOMATIC CHANGEOVER 63A ATS,1,AUTOMATIC CHANGEOVER 63A ATS 3P; AUTOMATIC CHANGEOVER 63A ATS 4P
AUTOMATIC CHANGEOVER 63A ATS PC,5,AUTOMATIC CHANGEOVER 63A ATS 3P; AUTOMATIC CHANGEOVER 63A ATS 4P
AUTOMATIC CHANGEOVER PC,2,AUTOMATIC CHANGEOVER 2P 63A DINRAIL; AUTOMATIC CHANGEOVER 63A ATS 3P; AUTOMATIC CHANGEOVER 100AMPS
DOUBLE POLE 63AMPS,53,C$G DOUBLE POLE 63AMPS; DOUBLE POLE 63AMPS HPL/HAG/HAV
FLEXIBLE TUBE CONNECTOR,0,FLEXIBLE TUBE CONNECTOR STRAIGHT; FLEXIBLE TUBE CONNECTOR STRAIHT
HAVELLS DISTRIBUTION BOARD,0,HAVELLS DISTRIBUTION BOARD 8WAY; HAVELLS DISTRIBUTION BOARD 12 WAY
HEAVY GAUGE WHITE CONDUIT,234,HEAVY GAUGE WHITE CONDUIT 25MM; HEAVY GAUGE WHITE CONDUIT 20MM
HEAVY GAUGE WHITE CONDUIT,400,HEAVY GAUGE WHITE CONDUIT 25MM; HEAVY GAUGE WHITE CONDUIT 20MM
INSTANT WATER HEATER 3L,0,INSTANT WATER HEATER 3L ORIENT; INSTANT WATER HEATER 3L HAVELLS
INSTANT WATER HEATER 3L,1,INSTANT WATER HEATER 3L ORIENT; INSTANT WATER HEATER 3L HAVELLS
METAL BUTERFLY PLATE WITH,0,METAL BUTERFLY PLATE WITH SPONGY WASHER; METAL BUTERFLY PLATE WITH RUBBER CONE
NON RETURN VALVE 3/4 MODEL,0,NON RETURN VALVE 3/4 MODEL SPRING; NON RETURN VALVE 3/4 MODEL FLAT
SOLAR FLOODLIGHT M/SENSOR,2,SOLAR FLOODLIGHT M/SENSOR 400W VELL; SOLAR FLOODLIGHT M/SENSOR 500W VELL
SOLAR FLOODLIGHT M/SENSOR,4,SOLAR FLOODLIGHT M/SENSOR 400W VELL; SOLAR FLOODLIGHT M/SENSOR 500W VELL
VOLTAGE PROTECTOR 3PHASE 100A,3,VOLTAGE PROTECTOR 3PHASE 100A TRONIC; VOLTAGE PROTECTOR
